Age,Experience_Years,Education_Years,Hours_Per_Week,Skill_Score,Annual_Salary
37,15,16,41,89,89958
37,12,16,30,64,81035
41,18,14,39,53,77799
35,8,14,33,75,60835
46,24,14,49,71,81339
32,7,12,44,75,55213
56,31,12,40,72,95069
40,18,12,46,77,86373
28,10,14,35,91,69236
26,7,16,42,78,66911
38,12,14,40,54,58036
33,8,12,41,90,59901
40,21,18,46,94,100263
38,13,18,43,100,87925
34,11,16,41,53,68509
28,7,18,31,73,70654
22,0,14,35,38,51189
31,9,18,39,78,72111
41,15,12,40,61,73884
36,12,14,34,98,78327
25,3,12,52,58,63110
36,9,12,47,44,49962
38,17,12,43,62,77369
27,5,16,40,40,55737
36,15,16,38,81,83381
35,14,14,35,39,63034
25,7,12,40,70,57538
37,16,16,41,38,77043
39,16,16,33,65,94487
43,22,14,41,94,95573
43,23,16,39,75,87367
23,2,12,30,57,44267
27,5,14,35,69,55986
39,15,18,37,70,72687
39,15,12,49,77,73423
39,12,14,42,49,73041
60,35,16,33,78,108072
39,13,16,42,30,75023
44,20,12,32,60,81179
42,18,12,45,62,73985
40,20,12,37,79,81384
32,9,16,39,70,76972
41,22,14,46,48,86095
28,4,12,33,55,51939
33,11,18,33,72,73932
31,6,14,37,68,61604
35,20,12,45,61,73255
53,27,14,32,62,85930
20,0,16,25,80,62397
40,20,12,37,62,78957
22,1,12,42,68,49803
31,8,16,46,100,73405
43,21,14,37,48,77510
35,13,14,37,42,65682
26,3,14,45,81,50928
29,10,12,30,59,70643
40,25,12,38,65,78217
29,5,14,40,58,51932
36,10,12,42,66,63511
35,13,12,37,93,79634
29,15,16,40,82,77217
52,27,18,27,82,98975
40,22,16,36,48,90581
20,3,16,42,52,55222
36,12,12,35,30,63142
29,9,18,40,57,71522
41,24,12,42,84,100775
28,5,18,38,77,77496
34,11,18,40,66,70976
39,15,16,35,69,86741
41,16,18,38,59,85187
25,1,14,43,73,55992
32,6,12,40,81,53243
31,9,14,37,45,59029
29,5,14,41,74,56567
49,27,12,43,83,100375
38,11,16,29,63,77496
24,3,18,45,80,53536
42,22,12,38,100,89538
51,23,16,42,68,101450
43,22,18,45,75,93413
22,4,18,33,58,61938
31,5,18,36,72,68375
45,28,14,38,76,97524
29,8,18,36,72,68098
38,14,16,48,54,69349
41,19,12,35,73,73302
27,7,14,37,91,68414
34,12,16,41,76,75289
20,0,12,33,84,46912
26,2,16,38,66,54065
32,11,16,41,81,72325
25,0,12,38,74,53648
48,25,14,39,55,88534
23,0,16,37,74,47017
31,7,14,32,55,62804
36,17,12,41,60,71733
46,27,12,48,72,93256
23,3,14,40,74,62902
44,19,18,41,52,85606
35,12,12,43,85,72185
27,8,16,33,78,60632
38,17,12,48,59,72563
36,21,14,41,46,80872
30,9,16,48,67,59994
35,14,16,36,63,75313
31,8,12,49,71,63517
35,14,14,43,64,72751
40,17,12,42,39,76140
47,27,14,41,64,96019
25,5,16,38,65,67283
52,27,12,46,79,91892
20,0,12,40,59,43841
33,6,14,30,95,67296
39,19,18,34,41,75601
37,11,18,39,89,85790
30,1,12,41,66,63155
33,12,16,39,82,75339
31,16,14,46,71,76822
30,8,14,30,87,66323
41,22,16,40,64,84200
37,16,18,30,53,69323
29,7,18,43,91,68556
42,22,14,39,68,79505
37,14,14,42,73,83787
41,20,16,35,88,89100
40,19,12,46,54,73707
28,4,14,45,78,64269
30,11,14,42,61,60107
40,18,16,39,68,79550
39,15,12,42,71,74669
34,14,12,36,47,70307
35,11,18,44,58,76175
45,23,12,48,90,91732
30,8,14,45,83,66699
39,20,12,36,69,81171
33,12,12,41,73,69141
33,11,12,33,65,58699
43,24,12,42,90,90716
41,23,16,42,66,84741
41,21,12,30,73,81724
45,23,18,34,87,95661
35,9,14,38,58,77114
40,15,14,38,93,81096
32,9,14,33,47,53885
37,13,14,41,94,77888
33,11,16,41,64,73436
35,13,12,39,66,77384
39,19,14,36,41,72381
28,6,16,45,63,54061
51,31,18,48,54,109134
26,5,16,37,60,51930
25,0,14,36,67,48005
44,19,16,42,84,88450
41,18,14,38,73,81679
39,14,14,39,74,79746
40,19,12,43,53,72596
34,17,14,30,56,71869
27,9,12,46,96,66337
35,12,14,40,58,70134
29,12,16,37,94,75750
42,21,12,39,66,83511
33,10,12,39,70,69297
28,4,12,31,86,59346
32,9,18,47,89,78521
38,15,14,40,68,67291
30,9,14,42,64,63510
28,6,16,44,69,66306
36,14,16,34,75,81875
36,16,14,42,83,75606
30,12,16,38,70,68302
31,12,16,44,79,70637
36,10,16,29,94,78856
23,0,12,39,75,53181
23,4,16,36,74,57178
29,3,14,42,47,56764
33,10,12,42,30,57501
37,11,14,36,75,71576
46,19,12,36,68,80251
41,21,12,39,62,84057
33,13,16,35,73,76857
34,11,12,44,69,77500
26,0,14,38,86,50664
34,11,14,25,71,70767
32,11,12,38,58,60748
37,11,18,34,84,74573
28,6,12,31,66,56351
39,17,14,33,77,80079
47,26,14,40,62,107433
34,12,12,46,60,64912
38,13,12,41,71,64987
40,22,16,36,70,89154
31,9,18,42,77,62521
36,14,12,37,65,69800
35,10,16,36,42,65404
35,12,16,34,63,76245
28,4,16,31,81,67150
35,12,14,38,65,67444
38,22,14,40,66,82805
46,20,14,39,84,85186
42,15,16,37,59,73594
52,34,16,35,46,105422
28,6,12,43,67,50503
41,17,14,33,62,76702
36,17,18,43,55,75972
52,28,16,34,67,103722
28,12,18,36,77,83061
28,8,16,32,69,58197
30,6,14,37,74,52847
20,4,14,44,97,58772
30,6,16,42,64,64225
28,9,12,44,74,62967
36,15,14,42,62,70872
37,19,16,34,57,79650
50,32,12,38,61,99387
42,20,16,36,62,90794
30,6,14,46,75,52577
27,7,18,34,100,70414
38,14,12,44,59,71828
24,8,12,44,63,52110
49,28,16,49,69,108897
44,21,12,37,75,80871
31,9,16,43,73,69453
21,0,16,51,89,59392
45,20,12,36,33,72732
34,15,14,32,34,57056
44,20,14,30,62,81386
22,0,14,43,86,58046
30,9,18,30,46,63945
35,16,16,38,30,66258
35,15,16,42,78,84043
31,12,16,40,73,70916
39,15,14,42,53,71395
26,0,18,41,55,55541
33,16,16,46,55,79224
35,12,16,35,71,86633
39,16,16,36,60,82379
40,22,12,36,77,89731
26,5,16,44,30,50809
22,2,12,44,57,41737
45,29,14,42,53,93584
37,13,14,45,66,73743
29,9,18,34,61,62982
47,25,16,48,81,97784
35,14,16,47,42,73867
44,27,16,43,70,98073
35,15,14,48,78,78955
51,31,18,31,97,113626
49,30,14,37,62,94843
33,9,14,36,74,64710
42,18,12,43,42,67374
40,15,16,34,34,80643
45,18,16,43,82,88739
27,11,14,46,69,64986
40,15,12,43,87,72828
43,20,16,41,49,98569
20,0,12,35,77,41462
25,4,16,35,98,62437
20,0,18,46,76,58574
32,13,14,43,74,74876
40,16,12,39,70,80759
47,24,16,37,46,98288
35,14,16,29,90,82112
48,25,14,34,60,85012
23,6,18,49,77,65310
21,0,12,33,46,43239
34,14,14,40,52,80068
38,18,16,45,91,79628
34,16,16,33,64,82548
20,0,12,40,91,50533
34,8,16,44,68,72748
24,3,14,40,42,48967
40,16,14,54,83,77674
37,14,12,31,61,72699
27,7,16,45,80,69420
30,12,12,39,70,70636
26,4,14,43,46,52584
34,13,12,42,72,66229
42,25,16,36,100,91330
27,5,16,41,77,67428
39,24,16,30,69,91724
30,10,12,43,86,61762
28,1,16,41,73,55236
34,14,14,43,73,71106
26,5,16,45,53,51326
30,12,18,41,73,71173
25,5,12,40,85,51928
50,28,16,35,57,95598
35,9,12,36,91,64667
29,6,14,45,68,53095
36,12,12,47,56,76172
34,10,14,38,84,76842
33,12,14,40,65,65676
39,22,16,35,81,91943
41,20,14,45,65,84704
30,5,16,43,69,68822
30,9,14,49,77,63233
32,14,12,35,74,74849
20,0,16,38,40,42322
22,0,12,41,53,37260
45,23,14,43,83,96609
48,23,16,38,68,99817
33,12,14,35,62,81266
39,17,12,44,49,65983
37,16,14,43,53,77587
59,34,18,35,39,107496
43,20,16,46,68,92106
33,14,16,45,61,66481
27,4,16,40,55,50802
22,5,12,40,68,48617
36,13,14,42,75,74336
28,7,16,35,100,67272
23,4,12,40,47,51086
29,3,12,29,87,62152
26,0,12,44,84,54641
48,21,14,32,58,93884
42,23,18,47,73,97125
34,11,12,38,63,58615
46,32,14,38,72,107926
35,11,12,36,92,68571
28,6,18,38,79,72504
47,29,12,47,77,104527
39,23,14,27,63,85848
26,10,16,46,47,56192
33,15,16,41,66,70980
27,9,14,33,88,72828
23,3,14,34,47,48769
42,22,14,48,54,84601
50,26,12,35,71,96078
23,0,12,34,55,47172
39,17,14,45,58,78415
29,7,12,41,63,56659
31,7,12,35,49,54008
30,10,16,41,55,70204
28,8,18,34,80,73456
35,13,16,45,50,70509
28,10,12,45,46,63359
37,11,12,42,60,65545
34,12,18,41,80,74001
33,8,12,48,67,58788
27,0,12,39,63,42950
30,8,14,34,70,61456
41,18,16,42,43,85246
39,21,16,50,77,84853
27,7,12,34,75,58962
35,10,12,38,63,61307
41,24,18,42,85,96076
21,3,12,39,53,39037
39,19,16,35,86,85673
29,7,16,45,72,64416
39,14,16,51,64,81225
28,5,14,40,69,60714
20,1,12,35,68,40997
21,5,14,32,88,64412
35,18,16,41,53,78434
37,13,18,45,58,78218
27,2,12,42,85,55223
40,18,12,39,61,73115
21,0,18,37,83,58608
34,13,16,34,95,81604
25,2,16,44,63,47692
29,6,12,44,80,57473
35,8,14,32,52,60849
28,7,16,47,81,68628
31,8,16,42,72,73946
43,17,14,46,77,78894
30,0,12,33,60,45429
41,19,14,33,45,74474
25,9,12,39,77,56758
39,22,14,42,39,76760
46,23,18,48,65,98880
20,0,14,43,84,46036
28,8,16,38,72,67767
39,14,12,34,99,69478
33,12,16,46,85,73385
37,18,18,35,60,81110
30,11,12,48,70,73610
35,13,12,38,69,67487
33,11,14,47,46,53333
44,19,12,43,55,68477
37,12,16,39,61,73216
37,15,18,37,39,77828
31,10,14,38,70,68904
31,11,12,42,66,65219
31,7,14,40,44,63349
38,20,16,37,76,83315
31,8,12,39,80,68154
37,15,14,40,73,67716
51,27,16,29,65,93487
41,12,16,42,78,70342
32,13,12,35,80,67323
44,24,16,34,74,93518
31,8,12,31,57,59159
20,0,12,31,74,45621
26,6,16,33,87,60853
20,0,16,36,61,48192
32,8,12,49,100,60908
35,15,12,37,62,76438
48,22,12,40,70,85234
37,16,12,42,59,69501
33,7,12,40,73,69103
41,21,12,39,43,69790
20,0,14,34,61,40455
36,10,16,47,53,63512
41,22,16,49,72,89766
23,0,16,31,84,57254
44,19,12,34,79,86164
37,16,18,38,34,88258
31,13,16,35,100,67154
40,15,16,42,74,83380
53,31,16,36,58,99997
36,15,18,50,72,79722
36,17,14,45,72,75076
31,9,12,41,59,56228
28,5,16,45,72,70847
41,17,16,45,60,85444
28,6,16,37,63,61644
35,10,14,35,59,72783
31,0,12,40,48,39457
38,18,14,44,72,73514
37,18,18,40,78,76013
43,14,14,32,77,74320
30,5,14,35,82,63675
32,12,12,39,74,68316
27,11,14,39,62,64514
31,9,16,49,82,64585
38,13,16,33,49,76199
41,18,16,42,56,82634
27,9,14,47,55,65076
41,18,16,51,86,78486
45,21,12,37,84,88083
38,14,16,42,77,73904
50,25,14,42,86,94849
28,7,14,40,56,61330
25,7,16,39,75,64683
20,0,18,42,68,50126
46,24,12,27,82,89296
40,17,16,43,68,74418
34,7,12,40,64,66563
37,17,14,38,78,78794
25,3,12,50,83,61753
54,32,14,36,59,99004
36,23,14,37,69,81590
35,14,12,49,54,64663
40,16,14,35,32,75017
38,15,18,37,73,79141
36,18,12,39,79,80470
28,7,16,44,73,63167
38,12,14,41,40,56888
50,30,16,33,64,98783
45,21,12,37,36,71428
47,31,12,36,90,100746
30,12,12,39,53,55994
27,3,12,42,88,61797
33,15,12,42,84,73750
35,13,16,31,56,71001
43,24,16,45,53,92557
21,0,16,41,75,58999
47,22,16,46,57,89975
33,9,12,42,71,60463
31,12,12,45,62,56324
26,3,14,42,43,47743
21,0,12,46,36,36841
41,16,14,42,73,80480
35,14,14,39,61,70372
24,8,14,51,61,63870
24,0,14,44,80,49897
32,10,16,42,87,73285
48,30,16,33,65,106674
32,10,14,33,64,67654
22,2,18,41,77,59803
33,7,18,40,49,63110
32,12,14,36,73,66390
20,0,14,40,78,45658
34,15,14,47,80,74081
33,14,18,43,40,76680
40,26,16,34,58,89240
49,29,12,39,56,86104
44,22,14,35,71,96612
32,11,14,38,77,71229
26,3,14,37,92,52269
55,34,12,37,62,100631
35,12,16,33,62,72601
35,13,16,39,87,87016
34,16,16,37,74,73840
36,11,16,25,89,80881
33,15,16,50,74,85125
30,12,14,45,52,62060
30,8,16,38,50,60900
34,6,12,40,46,50387
30,6,16,34,79,65221
29,11,12,48,87,67335
35,13,16,49,97,85270
32,7,12,40,82,69277
47,23,12,45,87,87094
20,0,12,40,61,34319
43,23,12,33,52,81002
44,22,16,37,82,94239
20,0,16,40,76,53752
32,9,14,37,71,63736
32,7,12,38,75,61626
23,6,12,39,74,63483
28,5,12,39,89,62289
26,7,12,40,89,59616
49,31,16,34,78,102315
42,23,12,36,82,86020
45,21,14,33,77,96251
40,19,12,44,63,77659
25,3,12,29,81,54186
30,6,14,45,49,54779
38,17,16,46,85,91334
25,0,12,38,52,53906
40,22,12,26,74,84341
33,9,14,38,57,64092
32,10,12,39,78,65745
40,19,12,34,69,66561
38,15,18,37,46,81145
32,11,16,47,76,74047
44,20,14,43,61,86031
26,6,14,35,83,58450
39,13,14,32,70,72273
39,18,14,38,75,78821
32,16,16,38,55,79220
37,12,16,42,61,71670
24,0,12,37,63,57668
42,21,14,42,82,90645
33,12,14,49,95,68859
30,9,16,44,57,65721
43,22,16,39,86,90280
29,9,14,39,37,46451
23,5,12,38,52,57411
22,1,16,45,55,55716
39,17,12,36,49,74030
24,4,14,40,46,52401
49,32,12,40,76,93354
20,0,16,37,66,47938
48,23,12,33,75,92661
36,18,14,41,80,75099
34,11,16,39,73,60664
30,2,12,42,79,54105
38,18,14,37,68,78648
34,11,14,46,52,66466
43,21,12,35,85,89444
35,14,16,48,61,79154
36,14,12,31,55,68817
32,12,14,42,67,74526
34,11,14,42,56,58814
37,17,16,36,63,81285
21,0,16,42,75,56193
24,4,12,46,75,47983
40,20,12,28,56,69529
36,11,16,42,62,68264
33,14,14,27,86,71625
35,11,16,35,77,77491
37,18,16,48,100,85515
30,9,16,37,87,67307
28,12,14,34,87,67237
36,13,14,39,49,74509
27,4,16,50,81,62920
38,16,14,30,69,74994
21,0,12,34,61,43266
43,23,16,47,72,98739
38,11,16,49,84,74741
37,11,14,39,77,79027
42,17,12,33,56,75741
48,29,14,50,81,99635
43,26,16,47,60,105483
20,0,18,43,73,49979
24,2,12,35,65,47286
30,8,12,39,66,53216
35,16,16,39,81,85834
39,14,14,41,54,80459
29,7,14,47,99,77053
36,17,18,44,42,84358
28,8,12,34,61,56618
30,8,16,46,75,66500
23,4,12,41,78,46295
27,0,14,43,68,62159
24,4,16,47,69,61116
27,3,14,34,76,54000
43,15,18,39,66,90971
27,6,14,37,90,59331
56,35,14,32,82,112153
38,16,12,41,83,76408
36,17,14,52,55,78543
28,10,14,30,68,64138
40,22,12,39,65,74388
30,13,14,43,54,66992
35,16,14,40,75,82005
55,33,16,39,61,107584
34,7,16,33,79,72548
44,21,16,41,53,80699
29,4,12,36,95,60424
34,19,12,29,56,68952
49,26,16,45,73,102620
29,8,14,44,81,66133
49,29,12,40,61,96693
40,18,16,41,82,92169
30,13,16,45,51,72952
40,16,14,41,91,83470
42,21,12,44,70,77640
39,15,16,38,61,78161
22,0,14,46,65,46380
29,5,16,41,82,63043
33,10,16,40,61,67251
34,11,16,33,58,64086
39,15,14,41,66,66911
36,10,12,35,52,58449
24,2,16,36,97,62013
38,11,16,35,61,65287
39,20,16,34,82,87486
39,17,12,50,73,87189
43,17,12,46,55,80445
41,18,16,49,69,93496
38,14,16,33,81,81655
34,13,18,40,67,82796
21,3,16,33,87,55978
38,10,14,36,85,69956
36,15,16,35,83,66232
37,14,16,46,63,82464
24,4,14,38,53,60656
26,4,16,45,60,56185
43,19,12,43,72,79476
34,11,14,51,78,68402
40,16,16,32,37,75509
35,16,12,46,69,78662
35,13,12,45,72,61000
42,26,14,35,65,91730
30,8,12,45,89,63956
35,11,12,41,76,69023
31,4,14,38,89,65698
31,4,18,35,66,62981
32,5,14,36,84,63399
36,15,12,50,94,76938
31,10,12,40,89,72407
45,18,16,43,53,84816
27,8,14,36,66,62381
33,10,16,36,64,62317
31,9,16,45,77,68855
46,29,16,33,80,105795
36,17,12,37,57,71707
43,20,16,40,71,90881
23,0,12,40,39,49575
37,8,18,39,91,82632
42,17,16,41,62,82897
35,13,14,43,70,69548
43,18,12,43,65,65833
30,8,12,35,87,62994
46,24,16,38,30,84000
53,30,12,45,69,101135
32,8,14,44,68,63296
31,9,12,33,63,59336
46,25,16,41,95,92079
47,22,16,30,56,83703
30,13,16,40,81,76985
31,9,16,49,75,78637
32,10,12,35,88,67453
24,4,12,35,59,51868
27,6,16,43,59,65515
26,7,14,32,86,59691
28,7,14,36,76,64748
34,10,12,42,46,57524
36,15,12,36,61,75239
47,21,12,38,75,87091
27,5,16,43,82,65416
42,20,12,42,59,75785
33,10,14,41,30,63282
34,12,12,38,77,79022
40,12,16,41,51,68150
26,2,14,39,39,46255
38,16,16,42,30,73176
36,14,16,37,82,83314
38,13,14,39,71,71812
37,19,18,35,66,70551
54,30,18,39,90,118522
29,10,16,35,79,74506
30,10,16,34,94,64304
30,6,12,41,49,50386
30,13,14,41,69,77958
29,4,12,43,45,58036
44,25,12,37,66,91612
46,27,18,42,66,98757
30,6,14,42,79,63638
28,10,16,42,70,67652
38,16,16,35,79,86992
30,9,16,40,80,65619
40,18,18,41,100,88961
36,14,12,40,65,74684
22,3,12,29,55,46725
47,27,14,40,73,102897
49,22,12,51,57,81549
30,12,12,38,92,68689
31,4,14,36,65,54289
37,18,16,41,61,80394
37,19,14,41,62,71223
40,14,14,45,80,76522
51,27,16,33,67,92002
33,8,12,43,60,63750
28,5,12,42,94,65484
23,1,16,39,57,43155
29,9,16,41,70,74077
34,16,16,45,79,93422
49,31,12,44,45,93415
30,7,16,34,77,63014
36,14,16,44,54,87874
34,7,14,39,82,60863
44,20,16,40,55,84802
55,35,16,40,80,113813
30,13,14,39,86,79879
31,5,14,45,82,65059
43,19,18,39,73,87595
40,18,16,34,66,77581
49,28,14,38,61,93828
39,15,16,40,92,78776
32,11,14,46,59,66572
39,16,12,43,54,68936
43,21,14,35,79,80512
41,21,18,52,58,95306
39,17,18,41,55,78989
43,20,14,46,48,74074
44,22,14,39,62,84457
46,23,12,42,68,87086
40,17,18,44,73,77123
33,10,18,46,84,79094
36,18,16,45,77,78818
44,24,16,44,67,101059
28,5,16,38,67,64025
37,18,14,37,77,78125
31,8,12,41,89,61973
35,16,14,44,71,76141
45,24,16,38,62,94585
36,14,16,45,55,73832
35,14,14,47,48,68702
24,0,18,35,79,58184
40,15,12,35,78,72772
40,14,14,39,78,75740
52,30,16,41,68,93542
32,15,16,37,91,85230
36,21,16,46,62,85895
36,16,12,42,84,73156
47,27,12,40,69,100949
34,6,16,32,60,64555
37,13,14,33,78,69211
39,15,12,41,76,79356
36,12,16,29,75,76810
31,8,14,45,71,67244
36,13,16,39,69,72934
43,15,16,56,100,91325
26,7,12,51,87,60199
36,10,12,39,80,71122
29,8,16,39,71,56407
44,28,16,44,85,99269
22,0,16,48,77,63453
30,0,16,31,70,53177
38,15,16,31,65,73756
47,28,18,36,68,99823
34,18,14,42,30,63614
30,4,14,42,73,49112
50,29,14,45,62,96481
23,0,12,34,93,51909
20,0,14,28,70,47069
38,24,12,44,52,79855
30,4,18,35,69,64795
26,5,14,29,54,59493
40,20,14,40,77,83143
36,18,14,43,74,76844
30,8,12,39,84,62400
24,3,12,37,58,52337
41,18,14,39,70,88853
40,19,12,38,49,70727
34,11,16,33,80,73775
49,29,16,36,77,104614
26,3,16,42,77,55149
22,1,16,41,70,55146
29,7,12,40,76,52767
34,16,16,35,94,73303
36,14,16,39,65,78330
33,5,12,29,72,56262
37,19,16,40,53,81455
24,0,12,47,56,45895
46,22,16,32,71,86403
34,10,18,37,86,76889
43,26,12,41,66,81640
37,9,16,46,66,78020
38,26,16,37,63,83627
39,20,18,36,61,85990
38,17,14,30,74,73078
40,17,16,40,47,81245
45,24,12,50,89,90406
36,16,14,41,60,71370
40,20,12,39,80,86688
34,13,18,41,50,74545
46,24,16,39,80,98793
29,6,16,35,80,61174
49,26,18,44,75,95706
34,12,12,41,55,64695
23,4,14,40,73,55084
36,15,12,35,52,71371
29,0,12,46,66,49339
41,21,12,43,85,86473
29,8,14,37,81,57177
31,9,12,45,70,72053
20,0,12,37,55,41255
31,12,12,36,79,71307
20,0,12,36,70,41784
22,0,18,31,35,49235
41,20,16,42,81,82129
41,16,18,30,69,85944
38,12,14,33,88,73455
27,3,12,29,53,48922
34,15,16,39,30,72211
34,15,14,39,74,69296
25,5,12,38,74,51714
47,27,12,34,44,88154
42,21,12,34,55,89177
33,9,12,42,100,68480
35,14,14,37,65,75039
36,17,16,41,80,81800
20,0,12,35,60,52920
33,14,12,40,38,54283
29,9,16,46,67,68058
26,6,12,42,66,47253
32,13,14,37,64,57432
49,27,16,41,68,99899
40,15,12,38,73,75234
30,7,12,40,67,58073
39,15,14,38,51,71952
