Student_ID,Study_Hours,SocialMedia_Hours,Sleep_Hours,Attendance,GPA
120,5.9,6.4,5.5,83,3.44
121,5.9,9.1,6.8,75,3.05
122,2.9,2.9,8.5,84,3.25
123,7,3,6.7,77,3.81
124,2,6.1,7.3,79,2.47
125,5.6,5.4,5.5,99,3.33
126,8.4,7.7,7.3,95,3.71
127,2.7,5.2,6.6,69,2.63
128,3.5,3.3,8,90,3.34
129,4.7,5.2,8.2,90,3.41
130,3.6,6.2,9.9,71,2.91
131,1.7,5.6,7.5,90,2.51
132,4.6,5,7.2,97,3.57
133,2.6,6.1,7,71,2.37
134,5.4,6.3,6.4,73,3.37
135,2.8,6.8,7.2,92,2.67
136,7.3,5.3,6.4,85,3.7
137,3.1,3.7,7,88,2.82
138,3.9,4.3,8.4,85,3.19
139,6,6.4,5.6,86,3.63
140,2.3,2.4,8.2,69,3.01
141,4.9,4.7,8.4,92,3.74
142,6.9,3.2,6.7,94,4
143,1.6,4.1,4.3,80,2.32
144,4.8,6.6,6.1,82,3.09
145,5,4.4,8.4,67,3.17
146,5.9,4.1,6.8,87,3.95
147,2.3,1.3,5.6,88,2.82
148,2.1,5.5,6.2,81,2.83
149,5.4,5.3,7.8,93,3.77
150,5,8.3,7.5,79,3.47
151,5,3.4,6.5,88,3.44
152,5.1,4.4,6.4,72,3.45
153,3.3,4.5,6.3,82,3.45
154,4.9,7.2,5.7,80,2.97
155,5,3.8,8.7,84,3.27
156,3.2,4.6,6.4,78,2.57
157,7.9,5.2,8.3,81,4
158,5.4,4.4,8.6,90,3.29
159,2.4,3.1,8,78,2.87
160,5.7,4.4,6.3,66,3.46
161,2.7,6.1,7.3,99,3.01
162,5.9,1.9,6.8,96,4
163,6.6,4.3,5.7,69,3.63
164,3,2.6,7.2,89,3.46
165,6.2,6.4,5.4,77,3.21
166,5.2,1,8.2,85,3.7
167,6,2.9,6.2,85,3.59
168,7.9,4.8,7,80,4
169,4.1,7.1,7.1,74,3.1
170,3.1,3.9,6.5,75,3.05
171,2.9,2.9,7.5,73,3.25
172,3,7.8,6.2,74,2.36
173,4.4,1.1,7.8,81,3.91
174,5.1,0,5.2,75,3.94
175,5,4.9,7,89,3.59
176,6,3,9.1,97,4
177,4.5,2,5.6,76,3.05
178,7.1,5.4,6,84,3.67
179,4,4.5,7.4,87,3.12
180,9.4,2.9,7,87,4
181,5.6,1.4,7.2,83,3.6
182,3,5.7,7.4,89,3.11
183,2.6,5.3,7.6,87,3.16
184,5.4,3.8,8.1,70,3.62
185,4.1,7.7,7.3,91,3.11
186,5.8,1.9,6.5,91,3.66
187,5.4,0.9,7.6,74,3.56
188,4.4,2.6,9.1,82,3.78
189,3,3.9,6.6,89,3.22
190,1.8,4.5,5.6,80,2.6
191,3.7,3.5,8.1,93,3.28
192,6,4.7,6.7,100,3.38
193,4.9,1.5,4.2,74,3.19
194,2.3,6.9,7.8,68,2.9
195,4.8,3.8,6.2,85,3.15
196,5.2,6.2,6.7,89,3.41
197,2.9,4.7,7.2,80,3.12
198,4.8,4.9,7,97,3.22
199,4.6,5.1,7.7,69,3.21
200,2.4,4.9,6.3,89,3.04
201,5.1,5.3,7.4,76,3.34
202,5.5,6.7,6.5,99,4
203,6.4,4.4,7.7,100,3.62
204,6.4,5.4,7.5,74,3.81
205,2,3.8,5.7,77,2.65
206,2.8,6.9,8.1,91,3.03
207,5.4,2.6,6.2,78,3.66
208,5.4,7.6,7.8,82,3.14
209,5.4,3.9,7.2,82,3.61
210,10,1.1,9,63,4
211,5.5,4.3,6.5,82,3.64
212,6.5,2.6,6.4,75,3.86
213,6.2,5.7,6.8,77,3.65
214,5.7,2.7,6.4,96,4
215,3.9,3.1,7.8,69,3.27
216,5.9,0.2,4.9,90,3.95
217,3.1,3.1,5.5,79,2.83
218,4.1,0,5.5,79,3.32
219,3.6,0.8,7.9,90,3.76
220,4.6,5.5,8.9,85,3.66
221,8.7,5.6,6.7,88,4
222,1.1,4.9,6.6,92,2.62
223,5.7,2.1,6.9,79,3.55
224,1.6,3.9,8.2,76,2.94
225,3.7,4,5.7,71,3.11
226,6.5,1.7,7.1,74,4
227,4.6,7,8,100,3.18
228,2.6,5.8,7.4,94,2.84
229,3.2,3.6,7,68,3
230,5.7,4.1,8,69,3.65
231,3.2,4.4,3.6,87,2.85
232,4.9,0,7.6,87,3.66
233,4.6,3.5,6,87,3.58
234,3.3,2.6,4.6,79,3.19
235,8.4,2,7.4,81,4
236,5.6,3.4,8.4,85,4
237,0.9,7.6,6.6,83,2.47
238,4.8,5.3,7.9,60,3.16
239,3.3,2.9,8.7,80,3.25
240,6,5.1,8.4,73,3.68
241,3.1,6.8,8.8,84,2.74
242,4.3,5.8,7.7,100,3.37
243,5.4,4.1,6.9,86,3.13
244,6.1,2.7,4.9,79,3.82
245,2.3,5.4,6.5,91,2.51
246,3.9,4.8,5.8,87,3.43
247,3.6,5.8,9.4,86,3.1
248,3.3,5.3,6.6,88,2.98
249,7.7,6.1,6.9,100,3.92
250,5.2,2.9,7.5,71,3.44
251,2.2,6.6,6.9,87,2.95
252,6.2,4.4,8.8,73,3.17
253,8.3,8.2,6.1,88,4
254,6.4,2.6,7,73,3.84
255,1.8,7.5,5.9,78,2.12
256,3.6,4.4,5.2,79,2.78
257,6.8,2.7,6.1,92,4
258,3.2,3,6.8,91,3.03
259,5.3,3.4,6.3,70,3.18
260,5.9,4.8,6,83,3.76
261,2.8,5,5.1,75,2.79
262,4.4,2.9,6.7,69,3.08
263,0.5,4,5,80,2.39
264,2.7,8.3,7.7,79,2.39
265,4,7.5,6.9,100,3.36
266,2.3,4.9,5.1,86,2.93
267,7.4,4.1,6.4,68,3.92
268,1.9,4.2,5.9,76,2.72
269,3.7,5.2,7.2,92,3.53
270,4.7,2,8.4,100,3.81
271,7.1,3.5,4.5,66,3.43
272,1.9,0.7,6.9,63,2.94
273,6.6,4.8,6.6,100,4
274,4.5,5.3,7.6,86,3.11
275,2.7,3,7.1,73,2.87
276,5.3,7.1,5.9,87,3.35
277,4.9,1.5,6.4,56,3.31
278,3.4,1.1,5.8,82,3.08
279,4.6,4.4,8.1,85,3.64
280,3.8,6.1,6.8,91,3.57
281,4.7,7.4,9.1,72,3.16
282,5.7,3.1,6.7,83,3.49
283,7.4,6.2,5.9,73,3.34
284,2.3,3.9,5,85,2.83
285,8.3,3.7,4.6,73,4
286,1,5.8,4.9,78,2.37
287,4.2,5.3,7.1,72,3.08
288,5.6,0.8,7.4,89,3.79
289,5,7,4.9,91,2.98
290,3.4,6.8,7.9,80,3.06
291,4.1,2.7,6.2,82,3.51
292,3.6,4.8,7,68,2.63
293,3.4,5,8.7,79,3.4
294,6,4.5,7.9,81,3.79
295,5.1,2.9,6.5,100,4
296,3.3,2.7,5.7,71,2.73
297,6.1,3.9,4.2,97,3.43
298,5.1,6.3,5.9,92,3.29
299,6,5.1,6.5,85,3.68
300,5.6,3.3,5.6,100,4
301,3,5.5,6.6,86,3.05
302,3.5,0,6.9,86,3.42
303,5.8,6.3,6.5,81,3.22
304,5.6,0.5,6,94,4
305,4.5,3.3,7,93,3.31
306,4.7,1.8,7.3,76,3.85
307,6.8,1.4,5.5,69,3.79
308,3.4,6.3,8.5,80,3.29
309,5.5,3.1,6.7,74,3.67
310,4.1,4.7,6.8,81,3.16
311,4.1,3.9,7.6,94,3.31
312,6.5,5,7.1,77,3.59
313,6,4.2,7.9,82,3.78
314,6,1.4,7.1,83,3.9
315,6.8,6,6.1,90,3.62
316,4.5,3,7.2,60,3.18
317,5.7,0.9,5.4,76,3.74
318,3.9,3.1,6.9,84,2.88
319,5.1,7,6.8,94,3.43
320,4.3,5.7,6.6,77,2.88
321,4.7,3.3,6.6,63,3
322,5.6,3.3,4.5,88,3.23
323,3,3.4,6.1,76,2.6
324,8.3,8.2,6.9,70,3.44
325,2.7,4.8,7,76,2.68
326,2.3,4.9,5.6,80,3.09
327,6.6,6.1,8.3,76,3.53
328,5.9,4.5,5.8,60,3.37
329,5.6,3.5,8,91,3.85
330,5.6,3.6,7.3,95,3.79
331,4.5,3.9,6,89,3.35
332,2.9,3.9,8.9,71,2.73
333,4.6,5.5,5.4,80,3.44
334,3.3,4.1,7.9,82,3.47
335,6.3,5.5,8,88,3.38
336,4.2,3.8,6,89,3.11
337,3,4.2,8.5,75,2.94
338,3.9,0,6.5,83,3.32
339,5.2,5.8,7.1,87,3.51
340,3.5,4.7,7.1,97,3.07
341,3,6,6.6,89,3.34
342,4.9,0,7.8,90,4
343,4.9,8.2,7.8,83,3.19
344,3.6,3.7,4.7,96,3.39
345,3.7,6.2,8.4,86,3.31
346,4.9,1.9,4.8,73,3.29
347,1.9,5.2,8,96,2.7
348,2,1.9,8.2,89,3.09
349,3.2,2.8,5.5,78,3.21
350,4.1,7.8,6.3,77,2.89
351,5.1,3.6,5.5,85,3.13
352,7.2,4.4,6.5,87,3.75
353,6,5.7,6.4,84,3.52
354,4.2,5,7.7,85,3.25
355,4.5,4.3,8.4,99,3.94
356,2.7,4.7,8.5,93,2.79
357,4.5,8.8,6.1,84,3.02
358,4,3.9,6.5,91,3.6
359,5.1,4.4,4.8,72,3.68
360,3,6.1,5.8,86,2.74
361,5.4,6.2,8,100,3.69
362,7.3,6.4,8.7,80,3.94
363,4.3,5.3,5.3,74,3.07
364,5.2,1.7,6.1,75,3.55
365,5.7,7.3,6.8,71,3.32
366,3.8,1.7,7.1,74,2.79
367,4.9,4.6,5.8,78,3.42
368,4.5,2.5,7.3,68,3.37
369,4.7,3.9,6.2,82,3.31
370,3.1,4.7,6.8,91,3.47
371,4.5,4.6,7.5,73,3.1
372,5.4,4.8,6.8,97,3.53
373,7.1,7.2,6.3,87,4
374,6.2,4.9,6.7,92,3.57
375,8.4,3.5,6.7,75,4
376,3.1,5.9,6.4,91,2.91
377,6.1,6.4,6.5,71,3.53
378,4.8,1.5,8.7,91,3.83
379,8.4,5.2,7.5,84,3.89
380,3,5.4,6.4,88,2.83
381,3,3.4,7.6,70,2.85
382,3.4,6.8,6.4,73,2.75
383,0.7,3.7,8.2,88,2.73
384,3.6,4.3,7.2,73,3.11
385,3.1,3.7,6.7,87,2.74
386,4.8,4,7.3,68,3.49
387,5.1,1.8,4.9,90,3.68
388,7.9,1.1,5.4,70,4
389,6.2,7.2,5.4,88,3.52
390,3.5,2.3,7,88,3.53
391,2.9,2,8.9,75,3.26
392,5.4,0,9.5,88,4
393,2.1,2.7,7.6,85,3.08
394,7.8,1.4,7.4,77,4
395,6.6,7.3,4.6,72,3.78
396,3.7,6,6.1,62,2.93
397,1.4,2.6,5.9,85,2.86
398,6.9,8.5,6.1,66,3.06
399,4.3,6,6.6,83,2.87
400,6.7,3.4,6.2,79,3.88
401,1.6,0,4.4,89,3
402,3.4,8.6,7.7,79,2.62
403,4.5,1.2,5.5,79,3.49
404,4.6,0.7,7.1,89,4
405,3.7,6,9.3,85,3.29
406,5.6,8.9,5.7,85,2.93
407,2.6,6.8,3.8,87,2.56
408,4.2,5.1,6.5,67,2.85
409,4.7,5.2,8.1,90,3.35
410,5.4,5.7,9.2,88,3.49
411,5.8,5.5,5.3,72,3.22
412,2.5,4.6,7.4,80,2.59
413,1.7,4.2,6.2,82,2.65
414,6.8,3.9,6.7,81,3.71
415,5.1,2.5,10,85,3.19
416,3.2,3.4,5,96,3.54
417,7.3,0.6,7.1,93,4
418,4.7,3.8,7.4,69,3.21
419,6.6,2,8.1,88,4
420,4.6,1.8,6.9,95,3.44
421,8.2,4.4,7.2,86,4
422,7.7,6.8,6.3,93,4
423,4.1,5.8,7.1,100,3.31
424,6.2,0.9,6.4,92,4
425,5.7,2,7.5,84,3.84
426,7,5.9,6.4,92,3.54
427,2.8,2,7.3,83,3.06
428,5.7,3.6,6.8,82,3.66
429,6.4,5.1,8.2,78,3.6
430,1.3,2.1,6.7,98,2.9
431,2.4,4.2,4.7,74,2.64
432,0.8,1.3,8.3,97,2.95
433,4,2.8,5.7,87,3.33
434,5.8,4.6,6,68,3.17
435,7.2,0.8,6.1,86,4
436,4.6,4.9,8.4,61,2.9
437,7.4,4,4.2,88,4
438,2,5.1,10,91,2.52
439,1.4,4.4,8.1,76,2.85
440,4.4,6.7,7.1,83,3.39
441,5.2,4.3,6.7,100,3.58
442,4.4,3.1,7.1,77,2.83
443,0.8,4.2,7.4,71,2.34
444,4.3,5.1,7.6,97,3.38
445,2.2,4.1,7.5,100,2.82
446,5.7,4.1,6.9,82,3.49
447,5.2,2.6,6.6,92,3.98
448,2.8,2.7,6.6,95,3.32
449,3.6,1.2,6.6,75,3.08
450,2.6,7.5,8.2,77,2.33
451,4.4,1.5,7.5,94,3.6
452,6.2,2.6,3.3,99,3.77
453,2.7,2.6,7.6,88,3.25
454,5.4,5.8,7,73,3.2
455,3.5,3.4,6.8,100,3.45
456,3.1,6.5,6.3,77,3.13
457,4.3,2.7,8.1,79,3.59
458,2.6,4.6,7.9,85,2.96
459,3.5,2.3,5.9,98,3.32
460,2.3,8.3,7.3,91,2.55
461,8,1.6,5.6,86,4
462,4.6,4.6,5.1,87,3.13
463,3.2,5.3,6,82,2.93
464,4.9,4.8,7.8,88,3.47
465,4.3,3.6,7.9,57,3.02
466,4.1,3.7,7.4,79,2.99
467,5.6,4.1,7.7,84,3.7
468,5.9,3.7,7.4,70,3.56
469,3.5,5.9,6,86,3.07
470,3.5,8.4,7.3,80,2.65
471,4,2.9,7.8,100,3.78
472,0.5,1.3,7.7,98,2.7
473,1.8,3.8,8.2,77,3.11
474,7,9.2,7.6,80,3.14
475,7.5,2.4,7.2,81,4
476,4.1,7.3,8.1,77,3.08
477,5.5,7.4,6.8,84,3.15
478,5.1,2.9,5.7,74,3.5
479,10,5.1,6.6,71,4
480,6.5,7.3,5.9,88,3.09
481,4.3,3.2,6,88,3.46
482,2.8,3.6,6.6,74,2.4
483,1.6,2.8,5.8,91,2.64
484,4.9,2,6.4,76,3.82
485,3.1,2.7,4.5,85,2.93
486,1.9,1.6,7.1,90,2.82
487,3.3,4.1,6.8,82,3.03
488,2.6,2.5,5.8,87,3.43
489,7.5,4.5,7.6,77,3.58
490,6.1,0.9,7.9,80,3.75
491,4.5,4.7,4.9,80,3.46
492,7.2,5.7,5.9,75,4
493,4.6,0,5.9,80,3.6
494,2.9,4.7,5.7,67,2.47
495,7.2,6.5,7.8,77,4
496,5.5,1.6,6.6,79,4
497,2.6,7.3,6.5,79,2.75
498,4.2,4.8,4.4,80,2.88
499,2.9,2.6,7.6,81,3.12
500,2,3.9,5.3,87,2.73
501,6.2,5.1,6.9,91,3.76
502,7.9,4.2,7.1,76,4
503,2,5.1,8.4,70,2.83
504,5.5,2.2,5.2,72,3.3
505,3.3,4.3,3.2,77,3.09
506,3.6,1.2,7,78,3.4
507,3.4,3.8,9,74,3.28
508,2.9,2.2,8.3,69,3.37
509,4.6,2.5,7.1,77,3.21
510,3,6.5,6.2,84,2.78
511,5,6.2,7.8,88,3.26
512,4.4,5.2,5.6,76,2.78
513,4.1,1.8,7.4,78,3.47
514,2.9,3.4,7.4,73,3.46
515,3.5,6.4,8.1,82,2.6
516,5.9,4.3,10,74,3.68
517,5.4,8.6,7.3,88,3.37
518,2.7,4.8,6.2,64,2.7
519,4.7,4.4,6.8,78,3.28
520,5.9,3.4,4.7,85,3.34
521,1.5,4.3,6,84,2.67
522,5.5,3.7,6.3,100,3.57
523,3.3,5.4,6.2,85,2.52
524,5.5,5.9,7,72,3.55
525,3.1,2.4,5.8,81,3.29
526,1.3,1.3,8.1,64,2.73
527,1.6,0.3,6.8,81,3.02
528,4.6,5,6.8,74,3.4
529,5,1.8,6.4,91,3.73
530,2.9,0,7,77,3.43
531,5.6,4.8,7.8,81,3.5
532,1.5,9,5.8,76,2.42
533,4.4,4,6,99,3.5
534,2.3,5.7,6.4,79,2.7
535,3.3,4.2,5.2,100,2.9
536,4.6,3.8,5.8,90,3.45
537,3,5.8,6.2,87,2.7
538,3.8,3.4,7.8,86,3.19
539,6.3,4.5,7.1,86,3.58
540,3.5,4.6,7,63,2.66
541,6,2.7,7.8,79,4
542,2.5,6,6.6,90,3.07
543,5.5,3.7,7.3,82,3.97
544,7.1,2.5,6.7,68,3.63
545,0.5,5.1,7.1,81,2.39
546,3.1,2.2,6.1,99,3.03
547,5.5,4.1,3.9,94,3.39
548,4.1,4,6.6,81,3.05
549,5.2,6.2,8.5,92,3.73
550,3.4,4.9,7.9,78,2.95
551,4.7,3.9,8,65,3.47
552,4.2,5.6,8.3,73,3.24
553,6.6,6.8,6.9,98,4
554,5,5.1,7,79,3.03
555,5.1,4,6.1,80,3.65
556,3.8,1.4,6.4,79,3.56
557,3.6,1.9,7.5,100,3.33
558,3.7,3.4,8.2,98,3.64
559,5.2,2.8,6.6,100,3.82
560,3.7,3.6,6.3,80,3.1
561,5,4.1,6.8,85,3.3
562,8.2,5.1,7.5,67,3.81
563,6.1,3.9,5.1,97,4
564,3.9,5,4,70,2.87
565,6.7,4.1,6.1,84,3.94
566,3.8,0,5.3,71,3.14
567,0.8,2.1,6.2,76,2.43
568,2.7,3.7,6.6,74,3.08
569,1.1,1.6,6.3,76,2.42
570,3.9,5.2,8.5,77,3.05
571,4.5,7.1,7.2,77,3.06
572,7.5,6.4,7.2,90,3.92
573,5.1,3.6,7.5,71,3.38
574,4.1,7,5.4,84,3.04
575,6,4.3,8,94,3.96
576,0.5,3.3,6.7,77,2.6
577,4.9,2.8,7.6,75,3.29
578,5.9,3.4,5.5,80,3.54
579,1.8,3.2,4.9,94,3.07
580,6.6,4.3,7.8,84,4
581,5.1,4.3,7.3,77,3.13
582,3.8,4,5.7,87,3.23
583,5.6,4.9,5.8,71,2.95
584,8.6,6.4,8.2,89,4
585,4.8,5.9,5.4,86,3.6
586,4.9,1,8.8,79,3.54
587,3.7,0,5.7,74,3.16
588,3,5.9,7.6,73,2.95
589,6,1.3,6.4,87,3.6
590,3,3.6,7.5,94,3.06
591,4.6,1.7,6.1,76,3.57
592,3.6,0.4,6.6,87,3.34
593,5.4,5.1,6.8,61,3.18
594,5.1,5.5,5.6,76,3.37
595,6.4,2.8,7.7,82,3.96
596,3.6,0,6.2,73,3.38
597,4,2.9,6.5,73,3.14
598,2.7,4.8,5.6,75,2.83
599,3.7,1,3.7,85,3.24
600,5.2,4.4,6.6,80,3.51
601,5.9,4,9.7,60,3.45
602,2.8,5.2,7.7,61,2.67
603,6.1,4.2,6.8,76,3.4
604,6.9,2.1,6.5,87,4
605,5.2,6.4,6.8,55,2.87
606,7.9,3.7,7.5,77,3.86
607,3.1,3.9,5.4,77,2.96
608,2.3,2.1,8.1,96,3.23
609,1.3,3.1,7.7,78,2.86
610,7.2,2.2,7.7,86,4
611,5.7,3.7,7.3,83,3.74
612,4.4,7.4,6.8,61,2.93
613,5,1.3,7.6,90,3.87
614,2.5,0.8,7.5,84,3.03
615,8.9,6.9,6.4,87,4
616,4.7,3.6,6.1,100,3.63
617,4.7,2.7,6.9,61,3.28
618,5.8,6.1,8.7,99,3.3
619,5.4,2.8,5.3,79,3.55
620,4.9,7.7,5,85,3.51
621,3.1,5.4,7,82,2.84
622,5.3,3,6.9,78,3.41
623,7.9,8.3,7,76,3.76
624,6.9,2.8,7.1,85,4
625,7.4,5.5,6.5,67,3.92
626,3.6,4.6,8.6,90,2.99
627,2.7,6.6,4.9,78,2.74
628,4.3,7.1,5.8,71,2.99
629,4.6,4.1,6.7,77,3.27
630,6.5,2.5,4.8,95,3.98
631,1.5,4.9,6.6,77,2.73
632,7.3,2.6,8.8,86,4
633,4.2,8,6.8,75,2.64
634,3.7,4.3,7.1,90,3.39
635,2.7,3.3,5.3,89,2.97
636,1.5,4.4,6.1,100,2.8
637,6,1.3,6.3,80,3.85
638,4.6,2.1,6.4,89,3.53
639,2.2,6.4,8.3,83,2.95
640,2.2,2.7,7.5,95,3.07
641,3.9,1.9,5.5,75,3
642,7.5,5.1,7.1,89,3.92
643,4,6.4,7.4,80,3.08
644,1.8,5.4,8.2,81,2.93
645,4.1,6,8.7,83,3.3
646,4,2.5,5.6,85,3.14
647,0.5,1.2,5.8,81,3.11
648,4.4,7,5.3,84,3.07
649,4.1,3.4,6.5,98,3.69
650,5.8,3.5,7.4,92,3.74
651,7.8,6.7,8,91,4
652,6.5,5.1,6.7,77,3.8
653,4,4.9,6.4,73,3.29
654,2.5,8.3,7,92,2.86
655,9.1,2.7,5.8,91,4
656,4.6,5.9,9.3,97,3.41
657,4.5,4.1,4.9,76,3.06
658,4.5,4.5,7,80,3.33
659,4.9,7.1,9.2,66,3.31
660,4.2,5,6.8,78,3.11
661,3.5,5.1,6.6,92,3.32
662,3.5,6.1,6.4,77,3.16
663,4.4,3.3,6.6,88,3.25
664,3.5,2.3,8.4,80,3.15
665,3.2,1.9,4.1,85,3.09
666,4.7,0.1,8.6,71,3.73
667,4,8.1,5.1,83,2.72
668,7.2,1.8,6.5,52,4
669,0.5,3.6,6.3,80,2.53
670,6.5,3.4,7.5,66,3.69
671,6.7,4.6,4.9,94,3.51
672,0.8,5.6,7.4,90,2.22
673,3.9,5.7,9.2,87,3.28
674,3.8,2.8,5.2,97,2.92
675,2,3.7,7,73,2.92
676,3.1,4.6,6,99,3.08
677,2.5,3.5,7.3,91,3.7
678,7.7,7.2,6.8,80,4
679,6.2,5,6,93,3.66
680,6.8,5.5,7.4,71,3.61
681,5.8,5.3,9,74,3.73
682,2.5,6.3,6.6,76,2.96
683,3.6,4.4,7.7,77,2.76
684,5.4,1.4,5.2,71,3.19
685,2.3,4.8,5.7,94,2.72
686,5.8,2.7,7.4,79,3.84
687,4.1,2.9,8.6,86,3.54
688,3.8,5.2,7.2,76,3.27
689,5.8,6.5,6.4,64,2.97
690,5.3,4,6.8,85,3.07
691,3.9,4.6,5.3,63,3.04
692,6.6,7.4,7.5,81,3.38
693,2.6,4.5,7.9,68,2.38
694,5.6,9.2,6.3,100,3.34
695,5.6,5.1,6.2,91,3.7
696,3.9,0.5,7.1,83,3.49
697,5.1,5.5,6.3,95,3.35
698,2.2,4.8,6.7,74,2.65
699,6.2,6.6,9.3,87,3.6
700,4.2,5.3,6.5,84,2.88
701,3.6,3.7,6.4,85,3.01
702,6.4,1.6,6,95,4
703,3.2,3.6,7.7,89,3.27
704,2,2.3,6.6,85,2.96
705,1.7,2.8,6,65,2.4
706,5.6,5.2,8.4,72,3.42
707,2.2,7.3,8.5,81,2.19
708,7.7,4.8,6.1,83,3.97
709,0.8,1.6,4.6,71,2.76
710,7.6,4.9,8,100,3.88
711,4.9,6.4,6,97,3.22
712,4.3,2.8,7.7,88,3.56
713,3.5,3.7,4.4,83,3.28
714,5.2,4,7.9,80,3.43
715,4.4,2.4,5.3,72,3.13
716,6.5,5.3,7.7,83,3.32
717,4.7,3.8,6.8,85,3.44
718,4.8,4.8,5.7,70,3.55
719,3.8,2.2,6.3,85,3.39
720,4.4,3.1,7.6,80,3.4
721,5.1,5.4,6.9,63,3.22
722,1.4,3.3,7.5,73,2.66
723,2.1,7.5,9.2,78,2.43
724,5.8,3.2,4.9,100,3.94
725,4.8,4.4,8.7,88,3.56
